과목명,강의 내용,할인 기간,할인율,현재 가격,원래 가격
따라하면서 배우는 고박사의 유니티 하이퍼캐주얼게임 시리즈 03,"유니티에 대한 기반 지식을 다진 이후 ""이제 무엇을 해야 할까?"" 고민하는 초보자 대상의 강의입니다. 게임의 규모가 크지 않은 하이퍼 캐주얼 게임 (Hyper Casual Game)을 제작해 보며 짧지만 강렬하게 해당 게임의 핵심 코드를 학습할 수 있습니다. (강의에 사용되는 모든 리소스, PDF 자료를 제공하고 있습니다.)",없음,없음,"₩44,000",없음
언리얼 엔진 5 스파르타 클래스 - 심화편,언리얼 엔진의 최신 순기능들로 여러분들의 프로젝트 업그레이드를 목표로 합니다.,없음,없음,"₩110,000",없음
누구나 할 수 있다! 따라하며 배워보는 Unity3D 게임 클론 BEST 3,"혹시 게임을 좋아하시나요? 메타버스라는 단어를 들어 보셨나요? 그렇다면 직접 만들어 봅시다! 어렵게만 느껴지는 게임 개발 과정을 최대한 쉽게 풀어서 준비했습니다.  평소에 게임을 만들고 싶다는 생각이 0.001%라도 있었다면, 유니티 엔진으로 즐겁고 쉽게 도전해봐요!",없음,없음,"₩44,000",없음
따라하면서 배우는 고박사의 유니티 하이퍼캐주얼게임 시리즈 01,"유니티로 다양한 게임을 만들어 보고 싶은 초급자를 대상으로 합니다.
게임의 규모가 작은 하이퍼 캐주얼 게임(Hyper Casual Game) 제작을 쉽고, 자세하게 배울 수 있습니다.
(강의에 사용되는 모든 리소스, PPT는 각 강좌의 첫 번째 영상[프로젝트 기본 설정]에서 다운로드 할 수 있습니다.)",없음,없음,"₩44,000",없음
따라하면서 배우는 고박사의 유니티 기초,"유니티로 게임을 개발하고 싶은 초보자를 대상으로 하며, 유니티 설치부터 2D/3D 게임 개발에 필요한 기초 지식까지 자세하게 설명합니다. (강의에 사용되는 모든 리소스는 영상 상단의 ""수업자료"" 버튼을 눌러 다운로드 가능합니다.)",없음,없음,없음,없음
게임 엔진을 지탱하는 게임 수학,"게임을 구성하는 가상 세계가 수학으로 어떻게 만들어지는지 기반에서부터 하나씩 다루는 강의입니다. 
기반 수학을 통해 게임 엔진의 구성 원리를 이해하고, 3차원 공간을 구성하는 실질적인 게임 수학을 학습합니다.",없음,없음,"₩66,000",없음
언리얼5 블루프린트 소울라이크 프로젝트 part1,언리얼 엔진5으로 소울라이크 스타일 게임 만들어보기,8일만,30%,"₩38,500","₩55,000"
D3D12 프로그래밍 기초 플러스,"D3D12프로그래밍 기초편으로부터 이어지는 강좌입니다.
기초적인 렌더링 기능을 구현한 후 이것으로 실제 엔진 개발을 하려고 할 때 구현해야할 기능과 접근 방법을 설명합니다.",없음,없음,없음,없음
코딩이 처음인 초보자도 쉽게 만드는 파이썬 (Python) 으로 나만의 게임 만들기,제로베이스부터 시작해서 Pygame를 라이브러리를 활용한 누구나 쉽게 파이썬 (Python) 게임 만들기,없음,없음,"₩49,500",없음
D3D Tiled Resources를 이용한 텍스처 스트리밍,이 강의에서는 D3D11/12에서 Tiled Resoures를 사용하는 방법을 소개합니다.,없음,없음,없음,없음
C++을 이용한 자체 엔진 제작(유니티 엔진 클론코딩),C++을 이용해 유니티 게임엔진과 비슷하게 게임엔진을 제작하는 과정입니다. 내부적 코드를 유추하는 방식으로 제작되었으며 이를 통해 유니티엔진의 내부 원리에 대해서 생각해 볼 수 있습니다.,없음,없음,없음,없음
언리얼 엔진4 입문 (C++ 기반),"언리얼 엔진을 아예 처음 사용하는 분들을 대상으로,
UE5로 넘어가기 위해 알고 가면 좋은 UE4 기초를 다룹니다.",없음,없음,"₩22,000",없음
4. 유니티가 어려운 초보자를 위한 유니티 기초 강의,유니티가 어려운 초보자가 알아야 될 기본 개념과 주요 기능을 다룹니다.,없음,없음,없음,없음
밑바닥부터 시작하는 왕초보 유니티 2D 게임 제작,"난생 처음 게임을 제작하는 왕초보 분들을 위한 트레이닝 방식의 강의입니다. 유니티를 이용하여 2D 게임의 핵심 기능을 익힌 후, 이를 이용하여 2D 던전 탱크 슈팅 게임을 제작합니다.",없음,없음,"₩39,600",없음
따라하면서 배우는 고박사의 유니티 하이퍼캐주얼게임 시리즈 04,"유니티에 대한 기반 지식을 다진 이후 ""이제 무엇을 해야 할까?"" 고민하는 초보자 대상의 강의입니다. 게임의 규모가 크지 않은 하이퍼 캐주얼 게임 (Hyper Casual Game)을 제작해 보며 짧지만 강렬하게 해당 게임의 핵심 코드를 학습할 수 있습니다. (강의에서 사용하는 모든 리소스, PDF 자료를 제공하고 있습니다.)",없음,없음,"₩22,000",없음
유니티 머신러닝 에이전트 완전정복 (응용편),"이 강의를 통해 멀티에이전트, 커리큘럼 학습, 분산학습 등 머신러닝 에이전트의 다양한 기능들을 배우고 직접 사용해볼 수 있습니다. 또한 호기심 기반 탐험, 가변적인 입력에도 대응 가능한 강화학습 알고리즘에 대해서도 학습할 수 있습니다.",없음,없음,"₩66,000",없음
게임 수학의 이해,"게임 개발에 관심이 있고, 수학이 중요하다는 것을 알지만 막상 어떤 수학을 공부할지 몰라 감을 못잡는 분들을 위해 개괄적으로 설명해주는 강좌를 준비해보았습니다. 게임 제작 과정에서 사용되는 다양한 수학에 대해 이야기해보고자 합니다.",없음,없음,없음,없음
고도엔진으로 2D 매치 게임 만들기,고도엔진으로 '같은 그림 맞추기' 카드 게임 만드는 방법을 자세하게 설명합니다.,없음,없음,없음,없음
게임 개발을 위한 수학,"게임에서 사용되는 중요한 수학개념들을 쉽게 배우는 강의입니다. 수학을 잘 알고 있는 사람은 해당 지식들을 당연하게 여기기 때문에 아무것도 모른다는 가정하에 가르킬 수 없습니다. 
정말 비전공자라고 생각하고 초보자 관점에서 설명합니다.",없음,없음,없음,없음
D3D12 프로그래밍 소개,D3D9/10/11 또는 OpenGL경험자가 D3D12프로그래밍에 적응하기 위한 사전 지식을 알려드립니다.,없음,없음,없음,없음
"C#과 유니티, 실전 게임으로 제대로 시작하기 (저자 직강)","시작할 때 꼭 필요한 것만 배울 수 없을까? 직접 게임을 만들면서 재밌게 배울 수 없을까? 
수많은 고민과 함께 ‘처음 배우는 C# 프로그래밍' 책을 출간했고, 이를 기반으로 더 많은 노하우와 자세한 설명이 담긴 강의를 준비했습니다.",없음,없음,"₩29,700",없음
유니티(Unity)로 시작하는 게임개발: Part 3. 슈팅게임 개발,"유니티의 기본적인 기능 및 메모리 동작을 이해할 수 있으며, 프로토타입이 아닌 실제 한 사이클이 돌아가는 게임을 만드는 방법을 배울 수 있습니다.",없음,없음,"₩77,000",없음
유니티(Unity)로 시작하는 게임개발: Part 2. C# 프로그래밍 입문,"프로그래밍을 처음 접하는 분들이 게임을 개발하기 위해서는 C# 프로그래밍이 필요합니다. 
디자이너나 기획자 등, 기존에 프로그래밍을 전혀 해보지 않은 입문자를 위한 C# 강좌입니다.",없음,없음,"₩77,000",없음
Unity 3D 장르별 실전 게임 프로젝트 - 디펜스게임,"유니티3D 실전프로젝트 장르별 게임 개발 part 01 
Defense game(디펜스 게임) 입니다.",없음,없음,"₩36,300",없음
[C#과 유니티로 만드는 MMORPG 게임 개발 시리즈] Part5: 데이터베이스,야구/회사 데이터베이스를 통해 MS-SQL를 학습하는 강의입니다.,오늘까지,30%,"₩30,800","₩44,000"
5. 유니티가 익숙한 중급자를 위한 고급 문법 강의,유니티에 익숙한 중급자가 알면 좋은 고급 문법을 다룹니다.,없음,없음,없음,없음
