과목명,강의 내용,원래 가격,직무,일치율
맛집 지도앱 만들기 (React Native + NestJS),"리액트 네이티브를 이용해서 나만의 맛집 기록앱을 개발하고 출시하는 과정을 배우게 됩니다. 디자인부터 프론트 및 백엔드 개발, 배포까지 전 과정을 준비했어요.",무료,게임개발자,64.567%
"[코드팩토리] [중급] Flutter 진짜 실전! 상태관리, 캐시관리, Code Generation, GoRouter, 인증로직 등 중수가 되기 위한 필수 스킬들!",이 강의를 통해 주니어급 Flutter 개발자가 중급 Flutter 개발자가 되기까지 필요한 필수 지식들을 단기간에 배워볼 수 있습니다.,무료,앱 개발자,98.057%
"[코드팩토리] [중급] Flutter 진짜 실전! 상태관리, 캐시관리, Code Generation, GoRouter, 인증로직 등 중수가 되기 위한 필수 스킬들!",이 강의를 통해 주니어급 Flutter 개발자가 중급 Flutter 개발자가 되기까지 필요한 필수 지식들을 단기간에 배워볼 수 있습니다.,무료,웹 개발자,64.265%
"[코드팩토리] [중급] Flutter 진짜 실전! 상태관리, 캐시관리, Code Generation, GoRouter, 인증로직 등 중수가 되기 위한 필수 스킬들!",이 강의를 통해 주니어급 Flutter 개발자가 중급 Flutter 개발자가 되기까지 필요한 필수 지식들을 단기간에 배워볼 수 있습니다.,무료,데브옵스 엔지니어,59.542%
[Lv.1] 누구나 할 수 있는 - SwiftUI Basic with iOS 17,"iOS 앱개발의 대세인 SwiftUI, 필수로 알아야 할 사항과 최신 개발 트랜드인 MVVM Architecture 바탕으로 
실제 AppStore 에 있는 앱을 함께 만들어 봅니다. (📌 모든 강의 자료 PDF 및  실습 Code 파일을 제공합니다)",무료,앱 개발자,99.163%
[Lv.1] 누구나 할 수 있는 - SwiftUI Basic with iOS 17,"iOS 앱개발의 대세인 SwiftUI, 필수로 알아야 할 사항과 최신 개발 트랜드인 MVVM Architecture 바탕으로 
실제 AppStore 에 있는 앱을 함께 만들어 봅니다. (📌 모든 강의 자료 PDF 및  실습 Code 파일을 제공합니다)",무료,모바일 앱 개발,94.762%
[Lv.1] 누구나 할 수 있는 - SwiftUI Basic with iOS 17,"iOS 앱개발의 대세인 SwiftUI, 필수로 알아야 할 사항과 최신 개발 트랜드인 MVVM Architecture 바탕으로 
실제 AppStore 에 있는 앱을 함께 만들어 봅니다. (📌 모든 강의 자료 PDF 및  실습 Code 파일을 제공합니다)",무료,웹 개발자,64.170%
토스(前) 엔지니어가 알려주는 iOS 입문 - Swift언어부터 샘플앱까지,iOS의 시작. 망설이지 말고 이 강의를 들어보세요. 현업 10년차 이상의 개발자가 꼭 필요한 것만 쏙쏙 뽑아 준비했습니다.,무료,앱 개발자,93.908%
토스(前) 엔지니어가 알려주는 iOS 입문 - Swift언어부터 샘플앱까지,iOS의 시작. 망설이지 말고 이 강의를 들어보세요. 현업 10년차 이상의 개발자가 꼭 필요한 것만 쏙쏙 뽑아 준비했습니다.,무료,게임개발자,89.915%
토스(前) 엔지니어가 알려주는 iOS 입문 - Swift언어부터 샘플앱까지,iOS의 시작. 망설이지 말고 이 강의를 들어보세요. 현업 10년차 이상의 개발자가 꼭 필요한 것만 쏙쏙 뽑아 준비했습니다.,무료,데이터 엔지니어,77.631%
iOS 개발자라면 꼭 알아야할 Swift,"어렵고 복잡한
Swift 언어의 특징을 이해하기 위한 강의 입니다.",무료,웹 개발자,88.810%
iOS 개발자라면 꼭 알아야할 Swift,"어렵고 복잡한
Swift 언어의 특징을 이해하기 위한 강의 입니다.",무료,게임개발자,88.779%
iOS 개발자라면 꼭 알아야할 Swift,"어렵고 복잡한
Swift 언어의 특징을 이해하기 위한 강의 입니다.",무료,앱 개발자,88.631%
앨런 iOS 앱 개발 (15개의 앱을 만들면서 근본원리부터 배우는 UIKit) - MVVM까지,탄탄한 신입 iOS개발자가 되기 위한 기본기 갖추기. 15개의 앱을 만들어 보면서 익히는.. iOS프로그래밍의 기초,무료,앱 개발자,99.781%
앨런 iOS 앱 개발 (15개의 앱을 만들면서 근본원리부터 배우는 UIKit) - MVVM까지,탄탄한 신입 iOS개발자가 되기 위한 기본기 갖추기. 15개의 앱을 만들어 보면서 익히는.. iOS프로그래밍의 기초,무료,모바일 앱 개발,96.931%
앨런 iOS 앱 개발 (15개의 앱을 만들면서 근본원리부터 배우는 UIKit) - MVVM까지,탄탄한 신입 iOS개발자가 되기 위한 기본기 갖추기. 15개의 앱을 만들어 보면서 익히는.. iOS프로그래밍의 기초,무료,게임개발자,94.773%
[2024] React Native로 앱 개발 입문부터 마스터까지,"아이디어는 있는데 앱을 어떻게 개발해야할지 몰랐던 분들,
실전 프로젝트 4개를 만들어보면서 앱 개발을 마스터해봅시다!","₩22,000",앱 개발자,99.718%
[2024] React Native로 앱 개발 입문부터 마스터까지,"아이디어는 있는데 앱을 어떻게 개발해야할지 몰랐던 분들,
실전 프로젝트 4개를 만들어보면서 앱 개발을 마스터해봅시다!","₩22,000",모바일 앱 개발,92.437%
[2024] React Native로 앱 개발 입문부터 마스터까지,"아이디어는 있는데 앱을 어떻게 개발해야할지 몰랐던 분들,
실전 프로젝트 4개를 만들어보면서 앱 개발을 마스터해봅시다!","₩22,000",웹 개발자,77.811%
[초중급편] 안드로이드 데이팅 앱 만들기(Android Kotlin),"코틀린으로 커플 매칭 로직과, FCM을 이용하여 PUSH 메세지를 보내는 법을 실습해볼 수 있어요.
데이팅 앱을 따라만들어 보면서 안드로이드 앱 개발의 전체적을 흐름을 배워볼 수 있습니다.",무료,앱 개발자,95.399%
[초중급편] 안드로이드 데이팅 앱 만들기(Android Kotlin),"코틀린으로 커플 매칭 로직과, FCM을 이용하여 PUSH 메세지를 보내는 법을 실습해볼 수 있어요.
데이팅 앱을 따라만들어 보면서 안드로이드 앱 개발의 전체적을 흐름을 배워볼 수 있습니다.",무료,데브옵스 엔지니어,51.267%
[초중급편] 안드로이드 데이팅 앱 만들기(Android Kotlin),"코틀린으로 커플 매칭 로직과, FCM을 이용하여 PUSH 메세지를 보내는 법을 실습해볼 수 있어요.
데이팅 앱을 따라만들어 보면서 안드로이드 앱 개발의 전체적을 흐름을 배워볼 수 있습니다.",무료,보안 엔지니어,48.049%
UIKit - iOS14 실무 가이드 <iOS앱 진짜 개발자 되기>,"UIKit - iOS14 실무 앱 가이드
입문자를 위한 기초부터 탄탄한 설명을 준비했습니다.
경력자들도 놓치기 쉬운 개념들을 확실하게 잡아드립니다.
실무에서 만들어지는 앱을 확실하게 배울 수 있도록 정성스럽게 준비했습니다.",무료,앱 개발자,97.634%
UIKit - iOS14 실무 가이드 <iOS앱 진짜 개발자 되기>,"UIKit - iOS14 실무 앱 가이드
입문자를 위한 기초부터 탄탄한 설명을 준비했습니다.
경력자들도 놓치기 쉬운 개념들을 확실하게 잡아드립니다.
실무에서 만들어지는 앱을 확실하게 배울 수 있도록 정성스럽게 준비했습니다.",무료,게임개발자,76.956%
UIKit - iOS14 실무 가이드 <iOS앱 진짜 개발자 되기>,"UIKit - iOS14 실무 앱 가이드
입문자를 위한 기초부터 탄탄한 설명을 준비했습니다.
경력자들도 놓치기 쉬운 개념들을 확실하게 잡아드립니다.
실무에서 만들어지는 앱을 확실하게 배울 수 있도록 정성스럽게 준비했습니다.",무료,웹 개발자,58.544%
"SwiftUI의 Property Wrapper(@State, @Binding...)","SwiftUI 초반에 등장하는 데이터 관련 프로퍼티 래퍼에 대해 배웁니다. @State, @Binding, .constant, ObservableObject, @Published, @ObservedObject, @EnvironmentObject, @Environment",무료,데이터 엔지니어,89.004%
"SwiftUI의 Property Wrapper(@State, @Binding...)","SwiftUI 초반에 등장하는 데이터 관련 프로퍼티 래퍼에 대해 배웁니다. @State, @Binding, .constant, ObservableObject, @Published, @ObservedObject, @EnvironmentObject, @Environment",무료,데브옵스 엔지니어,74.440%
"SwiftUI의 Property Wrapper(@State, @Binding...)","SwiftUI 초반에 등장하는 데이터 관련 프로퍼티 래퍼에 대해 배웁니다. @State, @Binding, .constant, ObservableObject, @Published, @ObservedObject, @EnvironmentObject, @Environment",무료,앱 개발자,66.774%
[플러터플로우]코딩 없이 한 달 만에 앱 만들기,세계 1위 노코드 앱빌더인 플러터플로우(FlutterFlow)를 통해 앱을 만들어 보는 입문 강의입니다! 🤗 트위터를 똑같이 만들면서 자연스럽게 개념을 배워나가니까... 쉽고 재밌을 거예요! 🥳,무료,보안 엔지니어,90.615%
[플러터플로우]코딩 없이 한 달 만에 앱 만들기,세계 1위 노코드 앱빌더인 플러터플로우(FlutterFlow)를 통해 앱을 만들어 보는 입문 강의입니다! 🤗 트위터를 똑같이 만들면서 자연스럽게 개념을 배워나가니까... 쉽고 재밌을 거예요! 🥳,무료,웹 개발자,90.359%
[플러터플로우]코딩 없이 한 달 만에 앱 만들기,세계 1위 노코드 앱빌더인 플러터플로우(FlutterFlow)를 통해 앱을 만들어 보는 입문 강의입니다! 🤗 트위터를 똑같이 만들면서 자연스럽게 개념을 배워나가니까... 쉽고 재밌을 거예요! 🥳,무료,앱 개발자,89.818%
윤재성의 자바 기반 안드로이드 앱개발 Part 1 - UI Programming,본 강의는 멋쟁이사자처럼 앱스쿨: 안드로이드 강의를 진행 하시는 윤재성 강사님 강의 입니다.,무료,앱 개발자,98.084%
윤재성의 자바 기반 안드로이드 앱개발 Part 1 - UI Programming,본 강의는 멋쟁이사자처럼 앱스쿨: 안드로이드 강의를 진행 하시는 윤재성 강사님 강의 입니다.,무료,모바일 앱 개발,71.024%
윤재성의 자바 기반 안드로이드 앱개발 Part 1 - UI Programming,본 강의는 멋쟁이사자처럼 앱스쿨: 안드로이드 강의를 진행 하시는 윤재성 강사님 강의 입니다.,무료,웹 개발자,58.401%
앨런 Swift문법 마스터 스쿨 (온라인 BootCamp -  2개월과정),"Swift문법을 제대로 이해, 활용해보고자 하는 철학을 바탕으로 과정이 설계되었습니다. 코딩에 대해 1도 모르는 비전공자를 시작으로 네카라쿠배에 입사할 수 있는 초고급 수준까지 올리는 것을 목표로 하고 있습니다. 그림을 통한 메모리 구조 등의 이해를 통해  직관적으로 이해하고, 전공자의 지식 수준이상으로 올라갈 수 있는 2개월 과정의 부트캠프 입니다.",무료,모바일 앱 개발,50.174%
앨런 Swift문법 마스터 스쿨 (온라인 BootCamp -  2개월과정),"Swift문법을 제대로 이해, 활용해보고자 하는 철학을 바탕으로 과정이 설계되었습니다. 코딩에 대해 1도 모르는 비전공자를 시작으로 네카라쿠배에 입사할 수 있는 초고급 수준까지 올리는 것을 목표로 하고 있습니다. 그림을 통한 메모리 구조 등의 이해를 통해  직관적으로 이해하고, 전공자의 지식 수준이상으로 올라갈 수 있는 2개월 과정의 부트캠프 입니다.",무료,보안 엔지니어,36.363%
앨런 Swift문법 마스터 스쿨 (온라인 BootCamp -  2개월과정),"Swift문법을 제대로 이해, 활용해보고자 하는 철학을 바탕으로 과정이 설계되었습니다. 코딩에 대해 1도 모르는 비전공자를 시작으로 네카라쿠배에 입사할 수 있는 초고급 수준까지 올리는 것을 목표로 하고 있습니다. 그림을 통한 메모리 구조 등의 이해를 통해  직관적으로 이해하고, 전공자의 지식 수준이상으로 올라갈 수 있는 2개월 과정의 부트캠프 입니다.",무료,인공지능,35.104%
[LV1] Jetpack Compose - UI 연습하기,"XML만으로 하는 안드로이드 개발을 벗어나, Jetpack Compose를 도입해볼까요?",무료,웹 개발자,62.938%
[LV1] Jetpack Compose - UI 연습하기,"XML만으로 하는 안드로이드 개발을 벗어나, Jetpack Compose를 도입해볼까요?",무료,게임개발자,58.198%
[LV1] Jetpack Compose - UI 연습하기,"XML만으로 하는 안드로이드 개발을 벗어나, Jetpack Compose를 도입해볼까요?",무료,앱 개발자,52.770%
배달앱 클론코딩 [with React Native],"리액트 네이티브로 라이더용 배달앱을 만들어봅니다. 6년간 리액트 네이티브로 5개 이상의 앱을 만들고, 카카오 모빌리티에 매각한 개발자의 강의입니다.",무료,앱 개발자,98.591%
배달앱 클론코딩 [with React Native],"리액트 네이티브로 라이더용 배달앱을 만들어봅니다. 6년간 리액트 네이티브로 5개 이상의 앱을 만들고, 카카오 모빌리티에 매각한 개발자의 강의입니다.",무료,모바일 앱 개발,91.478%
배달앱 클론코딩 [with React Native],"리액트 네이티브로 라이더용 배달앱을 만들어봅니다. 6년간 리액트 네이티브로 5개 이상의 앱을 만들고, 카카오 모빌리티에 매각한 개발자의 강의입니다.",무료,게임개발자,83.857%
성공적인 진짜 iOS Design Guide - [Autolayout With Code],iOS UIKit 디자인 시스템을 배우는 실전 강의 - 11년차 개발자가 말해주는 진짜 Design Guide를 배울 수 있습니다.,무료,앱 개발자,91.601%
성공적인 진짜 iOS Design Guide - [Autolayout With Code],iOS UIKit 디자인 시스템을 배우는 실전 강의 - 11년차 개발자가 말해주는 진짜 Design Guide를 배울 수 있습니다.,무료,자동화 시스템,85.647%
성공적인 진짜 iOS Design Guide - [Autolayout With Code],iOS UIKit 디자인 시스템을 배우는 실전 강의 - 11년차 개발자가 말해주는 진짜 Design Guide를 배울 수 있습니다.,무료,게임개발자,78.433%
"[Lv.2] 레벨업 - SwiftUI intermediate with Core Data, SwiftData","SwiftUI 기초를 다진 당신께, 보다 고급기능을 iOS 앱에 적용시킬 수 있는 SwiftUI 중급 강의 입니다. 
(📌 모든 강의 자료 PDF 및 실습 Code 파일을 제공합니다)",무료,보안 엔지니어,65.349%
"[Lv.2] 레벨업 - SwiftUI intermediate with Core Data, SwiftData","SwiftUI 기초를 다진 당신께, 보다 고급기능을 iOS 앱에 적용시킬 수 있는 SwiftUI 중급 강의 입니다. 
(📌 모든 강의 자료 PDF 및 실습 Code 파일을 제공합니다)",무료,앱 개발자,54.614%
"[Lv.2] 레벨업 - SwiftUI intermediate with Core Data, SwiftData","SwiftUI 기초를 다진 당신께, 보다 고급기능을 iOS 앱에 적용시킬 수 있는 SwiftUI 중급 강의 입니다. 
(📌 모든 강의 자료 PDF 및 실습 Code 파일을 제공합니다)",무료,클라우드 보안,51.643%
Apple 출신 개발자의 SwiftUI Basic Part 1  기초튼튼,"최신 트렌드 SwiftUI 기본 개념 및 개발 방향
Apple 공식 문서를 기준으로 제작되어 견고한 개발 기초 체력 쌓기",무료,앱 개발자,93.076%
Apple 출신 개발자의 SwiftUI Basic Part 1  기초튼튼,"최신 트렌드 SwiftUI 기본 개념 및 개발 방향
Apple 공식 문서를 기준으로 제작되어 견고한 개발 기초 체력 쌓기",무료,웹 개발자,89.840%
Apple 출신 개발자의 SwiftUI Basic Part 1  기초튼튼,"최신 트렌드 SwiftUI 기본 개념 및 개발 방향
Apple 공식 문서를 기준으로 제작되어 견고한 개발 기초 체력 쌓기",무료,게임개발자,70.174%
아이비의 안드로이드 드릴,안드로이드 개발자로 취업하기 위한 모든 것,무료,게임개발자,83.282%
아이비의 안드로이드 드릴,안드로이드 개발자로 취업하기 위한 모든 것,무료,웹 개발자,75.631%
아이비의 안드로이드 드릴,안드로이드 개발자로 취업하기 위한 모든 것,무료,앱 개발자,65.605%
Flutter 앱 개발 실전,"실전 Flutter 프로젝트를 진행하는데 필요한 경험과 노하우를 담은 수업입니다. 단순 구현을 넘어서 시각적으로, 데이터적으로 일관성 있고, 프로젝트가 커져도 지속가능한 서비스를 만드는 방법을 배울 수 있습니다.",무료,앱 개발자,99.374%
Flutter 앱 개발 실전,"실전 Flutter 프로젝트를 진행하는데 필요한 경험과 노하우를 담은 수업입니다. 단순 구현을 넘어서 시각적으로, 데이터적으로 일관성 있고, 프로젝트가 커져도 지속가능한 서비스를 만드는 방법을 배울 수 있습니다.",무료,데이터 엔지니어,86.159%
Flutter 앱 개발 실전,"실전 Flutter 프로젝트를 진행하는데 필요한 경험과 노하우를 담은 수업입니다. 단순 구현을 넘어서 시각적으로, 데이터적으로 일관성 있고, 프로젝트가 커져도 지속가능한 서비스를 만드는 방법을 배울 수 있습니다.",무료,모바일 앱 개발,71.240%
"[Bloc 응용] 실전 앱 만들기 (책 리뷰 앱) : SNS 로그인, Firebase 적용, Bloc 상태 관리, GoRouter","단순 클론코딩이 아닌, 실전 앱을 만들어보며 플러터 상태관리 Bloc을 훈련하는 것이 목적인 강의입니다.",무료,게임개발자,61.368%
"[Bloc 응용] 실전 앱 만들기 (책 리뷰 앱) : SNS 로그인, Firebase 적용, Bloc 상태 관리, GoRouter","단순 클론코딩이 아닌, 실전 앱을 만들어보며 플러터 상태관리 Bloc을 훈련하는 것이 목적인 강의입니다.",무료,데브옵스 엔지니어,51.985%
"[Bloc 응용] 실전 앱 만들기 (책 리뷰 앱) : SNS 로그인, Firebase 적용, Bloc 상태 관리, GoRouter","단순 클론코딩이 아닌, 실전 앱을 만들어보며 플러터 상태관리 Bloc을 훈련하는 것이 목적인 강의입니다.",무료,보안 엔지니어,49.446%
iOS Clean Architecture & MVVM: RxSwift 완전 정복,"Clean Architecture와 MVVM 패턴을 실무에서 적용할 수 있도록 설명하며, RxSwift, Concurrency 등 필수 기술을 다룹니다.","₩39,600",스마트 기술,69.787%
iOS Clean Architecture & MVVM: RxSwift 완전 정복,"Clean Architecture와 MVVM 패턴을 실무에서 적용할 수 있도록 설명하며, RxSwift, Concurrency 등 필수 기술을 다룹니다.","₩39,600",게임개발자,65.710%
iOS Clean Architecture & MVVM: RxSwift 완전 정복,"Clean Architecture와 MVVM 패턴을 실무에서 적용할 수 있도록 설명하며, RxSwift, Concurrency 등 필수 기술을 다룹니다.","₩39,600",정보보안 전문가,62.260%
따라하며 배우는 리액트 네이티브 기초,이 강의를 통해서 리액트 네이티브를 이용해서 애플리케이션 개발을 할 수 있습니다.,무료,웹 개발자,78.634%
따라하며 배우는 리액트 네이티브 기초,이 강의를 통해서 리액트 네이티브를 이용해서 애플리케이션 개발을 할 수 있습니다.,무료,앱 개발자,70.054%
따라하며 배우는 리액트 네이티브 기초,이 강의를 통해서 리액트 네이티브를 이용해서 애플리케이션 개발을 할 수 있습니다.,무료,게임개발자,60.163%
코틀린 코루틴 완전 정복,"『코틀린 코루틴의 정석』 저자의 코틀린 코루틴 강의입니다. 이 강의에서는 코루틴에 대한 지식을 기초부터 핵심까지 다룹니다. 코루틴을 활용한 비동기 프로그래밍을 누구나 쉽게 이해할 수 있도록, 다양한 시각 자료와 명확한 설명을 제공합니다.",무료,데이터 분석,55.683%
코틀린 코루틴 완전 정복,"『코틀린 코루틴의 정석』 저자의 코틀린 코루틴 강의입니다. 이 강의에서는 코루틴에 대한 지식을 기초부터 핵심까지 다룹니다. 코루틴을 활용한 비동기 프로그래밍을 누구나 쉽게 이해할 수 있도록, 다양한 시각 자료와 명확한 설명을 제공합니다.",무료,IoT,52.388%
코틀린 코루틴 완전 정복,"『코틀린 코루틴의 정석』 저자의 코틀린 코루틴 강의입니다. 이 강의에서는 코루틴에 대한 지식을 기초부터 핵심까지 다룹니다. 코루틴을 활용한 비동기 프로그래밍을 누구나 쉽게 이해할 수 있도록, 다양한 시각 자료와 명확한 설명을 제공합니다.",무료,자동화 시스템,50.484%
[2024 최신] [코드팩토리] [초급] Flutter 3.0 앱 개발 - 10개의 프로젝트로 오늘 초보 탈출!,iOS 앱과 Android 앱을 코드 한번만 작성해서 모두 제작한다! 코드팩토리의 Flutter 초보 탈출 강의! 디테일한 이론과 흥미로운 프로젝트를 진행하며 탄탄한 기본기 쌓기!,무료,앱 개발자,99.369%
[2024 최신] [코드팩토리] [초급] Flutter 3.0 앱 개발 - 10개의 프로젝트로 오늘 초보 탈출!,iOS 앱과 Android 앱을 코드 한번만 작성해서 모두 제작한다! 코드팩토리의 Flutter 초보 탈출 강의! 디테일한 이론과 흥미로운 프로젝트를 진행하며 탄탄한 기본기 쌓기!,무료,모바일 앱 개발,94.319%
[2024 최신] [코드팩토리] [초급] Flutter 3.0 앱 개발 - 10개의 프로젝트로 오늘 초보 탈출!,iOS 앱과 Android 앱을 코드 한번만 작성해서 모두 제작한다! 코드팩토리의 Flutter 초보 탈출 강의! 디테일한 이론과 흥미로운 프로젝트를 진행하며 탄탄한 기본기 쌓기!,무료,웹 개발자,50.956%
[왕초보편] 앱 8개를 만들면서 배우는 안드로이드 코틀린(Android Kotlin),"앱 8개를 만들면서 코틀린 문법을 이용하여 안드로이드 앱을 만들어봅니다.
8개의 실습자료 뿐만이 아니라, 다양한 이론 설명과 함께 안드로이드를 공부해봅니다.",무료,앱 개발자,78.242%
[왕초보편] 앱 8개를 만들면서 배우는 안드로이드 코틀린(Android Kotlin),"앱 8개를 만들면서 코틀린 문법을 이용하여 안드로이드 앱을 만들어봅니다.
8개의 실습자료 뿐만이 아니라, 다양한 이론 설명과 함께 안드로이드를 공부해봅니다.",무료,모바일 앱 개발,46.847%
[왕초보편] 앱 8개를 만들면서 배우는 안드로이드 코틀린(Android Kotlin),"앱 8개를 만들면서 코틀린 문법을 이용하여 안드로이드 앱을 만들어봅니다.
8개의 실습자료 뿐만이 아니라, 다양한 이론 설명과 함께 안드로이드를 공부해봅니다.",무료,웹 개발자,26.513%
윤재성의 Google 공식 언어 Kotlin(코틀린) 프로그래밍 시작하기,2024년 최신 버전 및 17시간 48분 러닝타임 이 과정 하나로 kotlin 완전 정복할 수 있습니다.,"₩55,000",인공지능,56.635%
윤재성의 Google 공식 언어 Kotlin(코틀린) 프로그래밍 시작하기,2024년 최신 버전 및 17시간 48분 러닝타임 이 과정 하나로 kotlin 완전 정복할 수 있습니다.,"₩55,000",정보보안 전문가,56.148%
윤재성의 Google 공식 언어 Kotlin(코틀린) 프로그래밍 시작하기,2024년 최신 버전 및 17시간 48분 러닝타임 이 과정 하나로 kotlin 완전 정복할 수 있습니다.,"₩55,000",데브옵스 엔지니어,42.052%
쉬운 모바일 테스트 자동화 시작하기 : Appium Studio,Android 및 iOS 장치에서 테스트 자동화 개발이 궁금하신 모든 분을 위한 강의입니다. 이 강의를 통해 모바일 장치에서 자동화 테스트를 수행할 수 있게 됩니다.,무료,자동화 시스템,98.539%
쉬운 모바일 테스트 자동화 시작하기 : Appium Studio,Android 및 iOS 장치에서 테스트 자동화 개발이 궁금하신 모든 분을 위한 강의입니다. 이 강의를 통해 모바일 장치에서 자동화 테스트를 수행할 수 있게 됩니다.,무료,모바일 앱 개발,71.116%
쉬운 모바일 테스트 자동화 시작하기 : Appium Studio,Android 및 iOS 장치에서 테스트 자동화 개발이 궁금하신 모든 분을 위한 강의입니다. 이 강의를 통해 모바일 장치에서 자동화 테스트를 수행할 수 있게 됩니다.,무료,게임개발자,59.078%
[Unity] 함께 만들어가는 방치형 게임 개발,해당 강의는 방치형 게임을 만들어가면서 수익 창출을 목적으로 한 모바일 게임 개발을 진행하는데 중점을 두고 있습니다.,무료,게임개발자,97.508%
[Unity] 함께 만들어가는 방치형 게임 개발,해당 강의는 방치형 게임을 만들어가면서 수익 창출을 목적으로 한 모바일 게임 개발을 진행하는데 중점을 두고 있습니다.,무료,모바일 앱 개발,77.546%
[Unity] 함께 만들어가는 방치형 게임 개발,해당 강의는 방치형 게임을 만들어가면서 수익 창출을 목적으로 한 모바일 게임 개발을 진행하는데 중점을 두고 있습니다.,무료,웹 개발자,64.986%
MAUI [Cross-Platform Applications & C#],"Windows, macOS, iOS, Android 애플리케이션을 하나의 코드로 개발 및 동작시키는 MAUI 크로스플랫폼 개발에 대해 알아봅니다.",무료,웹 개발자,62.459%
MAUI [Cross-Platform Applications & C#],"Windows, macOS, iOS, Android 애플리케이션을 하나의 코드로 개발 및 동작시키는 MAUI 크로스플랫폼 개발에 대해 알아봅니다.",무료,게임개발자,53.963%
MAUI [Cross-Platform Applications & C#],"Windows, macOS, iOS, Android 애플리케이션을 하나의 코드로 개발 및 동작시키는 MAUI 크로스플랫폼 개발에 대해 알아봅니다.",무료,앱 개발자,51.699%
[입문] Qt 6 프로그래밍 1편,Qt를 이용하면 다양한 운영체제에서 호환되는 SW를 개발 할 수 있습니다. 즉 한번 Qt로 개발한 소스코드로 다양한 플랫폼에서 동작하는 SW를 개발할 수 있습니다.,무료,웹 개발자,25.694%
[입문] Qt 6 프로그래밍 1편,Qt를 이용하면 다양한 운영체제에서 호환되는 SW를 개발 할 수 있습니다. 즉 한번 Qt로 개발한 소스코드로 다양한 플랫폼에서 동작하는 SW를 개발할 수 있습니다.,무료,게임개발자,19.934%
[입문] Qt 6 프로그래밍 1편,Qt를 이용하면 다양한 운영체제에서 호환되는 SW를 개발 할 수 있습니다. 즉 한번 Qt로 개발한 소스코드로 다양한 플랫폼에서 동작하는 SW를 개발할 수 있습니다.,무료,VR/AR 개발자,16.399%
삼각형의 실전! CMake 초급,CMake가 사용하기 어려우신가요? 이 강의를 듣고 나면 당신도 CMake 전문가입니다.,무료,사이버 침해 대응,56.643%
삼각형의 실전! CMake 초급,CMake가 사용하기 어려우신가요? 이 강의를 듣고 나면 당신도 CMake 전문가입니다.,무료,인공지능,51.724%
삼각형의 실전! CMake 초급,CMake가 사용하기 어려우신가요? 이 강의를 듣고 나면 당신도 CMake 전문가입니다.,무료,게임개발자,51.302%
[입문] Qt QML과 C++로 시작하는 크로스플랫폼 앱 개발,Qt QML과 C++를 사용하여 크로스플랫폼 애플리케이션 개발에 입문할 수 있습니다. 해당 강의에서는 윈도우 응용 프로그램 타겟으로 개발을 진행합니다.,무료,앱 개발자,98.806%
[입문] Qt QML과 C++로 시작하는 크로스플랫폼 앱 개발,Qt QML과 C++를 사용하여 크로스플랫폼 애플리케이션 개발에 입문할 수 있습니다. 해당 강의에서는 윈도우 응용 프로그램 타겟으로 개발을 진행합니다.,무료,모바일 앱 개발,57.615%
[입문] Qt QML과 C++로 시작하는 크로스플랫폼 앱 개발,Qt QML과 C++를 사용하여 크로스플랫폼 애플리케이션 개발에 입문할 수 있습니다. 해당 강의에서는 윈도우 응용 프로그램 타겟으로 개발을 진행합니다.,무료,웹 개발자,40.759%
[Python 초보] Flutter로 만드는 ChatGPT 음성번역앱,"Python 배우긴 했는데, 어떻게 활용할지 막막한 분을 위한 강의입니다. 프로그램 기초지식을 99.9% 활용!!! 어려운 코드를 최소화하여 기본 예제코드를 가지고 만드는 Flutter 음성번역앱에 도전해보세요. chatGPT와 대화하고, 외국인 친구와 하는 대화를 번역해주고, 음성으로 이미지를 그리고, 파인튜닝으로 대화앱을 업그레이드합니다.",무료,게임 기획자,87.352%
[Python 초보] Flutter로 만드는 ChatGPT 음성번역앱,"Python 배우긴 했는데, 어떻게 활용할지 막막한 분을 위한 강의입니다. 프로그램 기초지식을 99.9% 활용!!! 어려운 코드를 최소화하여 기본 예제코드를 가지고 만드는 Flutter 음성번역앱에 도전해보세요. chatGPT와 대화하고, 외국인 친구와 하는 대화를 번역해주고, 음성으로 이미지를 그리고, 파인튜닝으로 대화앱을 업그레이드합니다.",무료,데이터 분석,85.085%
[Python 초보] Flutter로 만드는 ChatGPT 음성번역앱,"Python 배우긴 했는데, 어떻게 활용할지 막막한 분을 위한 강의입니다. 프로그램 기초지식을 99.9% 활용!!! 어려운 코드를 최소화하여 기본 예제코드를 가지고 만드는 Flutter 음성번역앱에 도전해보세요. chatGPT와 대화하고, 외국인 친구와 하는 대화를 번역해주고, 음성으로 이미지를 그리고, 파인튜닝으로 대화앱을 업그레이드합니다.",무료,데이터 엔지니어,80.401%
[입문] Qt 6 프로그래밍 2편,이번 강의는 Qt 프로그래밍 1편에 이어서 2편 강의 입니다. Qt를 처음 접하시는 분들은 1편을 먼저 학습하시고 2편을 학습하는 것을 권장합니다.,무료,게임개발자,68.995%
[입문] Qt 6 프로그래밍 2편,이번 강의는 Qt 프로그래밍 1편에 이어서 2편 강의 입니다. Qt를 처음 접하시는 분들은 1편을 먼저 학습하시고 2편을 학습하는 것을 권장합니다.,무료,인공지능,55.578%
