과목명,강의 내용,원래 가격
파이썬 무료 강의 (활용편7) - 머신러닝,"드디어 나왔습니다. 세상에서 가장 쉬운 머신러닝 강의
무료인데 뭘 망설이세요? 어서 '학습하기' 버튼을 꾸욱 눌러보세요",무료
초간단 예제로 배우는 딥러닝 입문,이 강좌에서는 딥러닝의 기초부터 시작하여 파이토치를 사용해 실제 숫자 분류기를 만들어 봅니다. 전혀 경험이 없어도 따라 할 수 있도록 설계되어 있습니다.,무료
"핵심만 빠르게, 입문자를 위한 딥러닝(Deep Learning)과 텐서플로(TensorFlow)","딥러닝(Deep Learning)을 텐서플로(Tensorflow)를 활용하여 학습할 수 있는 강의입니다. 선형(Linear) 회귀, 로지스틱(Logistic) 회귀, 소프트맥스(Softmax) 회귀 모델을 배우고, 최종적으로 패션 이미지를 분류할 수 있는 MLP 모델을 만들어보세요!",무료
엑셀로 만드는 딥러닝 - 분류,엑셀로 딥러닝 기초를 구현하며 그 의미를 깊게 이해하기!,무료
텐서플로우 2.0으로 배우는 딥러닝 기초,"텐서플로우 2.0의 기초 문법을 공부하고, 
딥러닝의 이론을 텐서플로우 실습 코드로 익히게 됩니다.",무료
프로그래머를 위한 강화학습(저자 직강),비즈니스 혁신의 핵심 기술 강화학습에 관한 가장 쉽고 상세한 강의!!! 하루 2시간(2개 강의) 17일 안에 강화학습을 당신의 손안에 넣어드립니다. 지금 이 시간부터 강화학습은 이해하기 어려운 문제가 아닌 당신을 위한 훌륭한 도구가 됩니다.,무료
김일한의 인공지능을 위한 텐서플로2 + 케라스 라이브러리 실전 적용,"본 과정에서는 텐서플로우(Tensorflow) 라이브러리를 활용하여 데이터 예측을 하는 방법을 학습합니다. 라이브러리 학습과 샘플 데이터 분석을 병행하여 실전에 적용할 수 있는 데이터 분석, 처리 방법을 학습합니다.",무료
DataScience와 AI의 개념 (공부하는 방법),"DS/AI를 처음 접하고 공부하고자 하는 사람들에게 도움을 드리고자 제작한 강의입니다.
DS/AI의 개념 그리고 어떠한 분야가 있는지에 대해 알려드리고 공부를 하려면 무엇부터 어떻게 공부를 해야 하는지 알려드립니다.",무료
CEO 및 리더를 위한 제조 혁신과 AI 빅데이터,"반도체에 대한 제조 혁신 방안을 벤치마킹하고 반도체 데이터로 코딩 없이 머신러닝, 딥러닝을 돌려볼 수 있습니다.",무료
엑셀로 맛보는 딥러닝 - 깊게 쌓기,엑셀로 딥러닝 기초를 구현하며 그 의미를 깊게 이해하기!,무료
모두를 위한 딥러닝 - 기본적인 머신러닝과 딥러닝 강좌,더 많은 분들이 머신 러닝과 딥러닝에 대해 더 이해하고 본인들의 문제를 이 멋진 도구를 이용해서 풀수 있게 하기위해 비디오 강의를 준비하였습니다. 더 나아가 이론에만 그치지 않고 최근 구글이 공개한 머신러닝을 위한 오픈소스인 TensorFlow를 이용해서 이론을 구현해 볼수 있도록 하였습니다.,무료
인공지능 코딩을  위한 엔트리,"블록 코딩 엔트리를 활용해 컴퓨팅 사고 및 문제해결력을 키우고, 엔트리 AI 도구를 통해 인공지능 개념을 익히고 간단한 머신러닝 학습을 실습한다.",무료
[PyTorch] 쉽고 빠르게 배우는 딥러닝,"딥러닝의 기본 뼈대인 MLP부터 CNN, RNN까지 쉽고 빠르게 배워봅니다.",무료
R로 무작정 해보는 data science,R을 통해 무작정 datascience를 해보는 강의 입니다. 데이터를 불러오는 것부터 모델 구축 및 모델 성능 전략까지 한줄한줄 쳐보면서 배웁니다.,무료
[초급자를 위한] AutoKeras로 배우는 머신러닝 분석,"[AutoKeras로 배우는 머신러닝] 강의에서는, 이전에 머신러닝에서 사용되는 Keras 라이브러리에서 발전한 AutoKeras를 배우고 직접 예제를 통해 활용해 볼 수 있습니다.",무료
강화학습 기초 이론,"강화학습의 이론, 기초 개념을 탄탄히 다지고 싶은 분, 딥러닝이 강화학습에 어떻게 적용 되는지 배우고 싶으신 분께 도움이 됩니다.",무료
기계학습 알고리즘 - 회귀분석과 의사결정나무,"데이터의 패턴을 파악하고 예측하기 위해 사용되는 기계 학습 알고리즘, 그 중에서도 회귀분석과 의사결정나무에 대해 다룹니다. 회귀분석과 의사결정나무가 무엇이며 어떻게 사용되는지 이해할 수 있습니다.",무료
실전 데이터 사이언스 Part 3. 머신러닝의 이해,"기업의 디지털 전환(DT), 인공지능(AI) 도입은 머신러닝 모델 구축에서 시작합니다. 그러나 머신러닝 기술 범위는 매우 넓으며  최적의 방법을 선택하려면 기본 개념을 분명히 이해해야 합니다. 이 강의에서는 머신러닝의 기본 개념을 명확하게 이해하는데 필요한 핵심 내용을 다섯개의 예제를 중심으로 소개합니다.",무료
